title,condition,rating,reviewNum,location
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',6박,4.7,18,한림읍
[친환경 숙소] [제주/애월] #최대18명 #방5개 부엌2개 #워크샵 #대가족 #단체손님 #소형 수영장 #개인 마당 #옥상 '돌담 하우스',6박,4.7,24,애월읍
[제주/제주시]  #신축 레지던스 #제주시내 초근접 #공항10분거리 #취사가능 : 센터포인트 N,6박,4.8,245,노형동
[서귀포/안덕] #프리미엄 스테이 #중문관광단지 인접 #소파 #엔티크 인테리어 알리앙스 인 제주,14박,4.5,82,안덕면
[제주시] 제주공항 근처 나만 알고 싶은 포근한 대가족 펜션 / 키즈 펜션,6박,5,75,신비마을1길
[제주/애월] 한담해변 근처 토비스콘도,6박,4.2,130,애월읍
[친환경 숙소] [제주/조천] 제주 자연을 즐길 수 있는 풍경명소 알밤오름하우스,6박,4.6,82,조천읍
[제주/애월] #곽지해변바로앞 #넓은구조 #오션뷰 #올리모델링 썬셋맛집 '라운드스테이',14박,4,3,애월읍
[제주/한림] #럭셔리 한옥 독채 #자쿠지 #야자수 정원 #슈퍼맨이 돌아왔다 방영 '우연재',6박,5,5,한림읍
[제주/한림] 협재바다를 품은 제주속 힐링 스테이,6박,4.8,54,한림읍
[제주/애월] 해아래펜션,6박,4.5,104,애월읍
[제주/제주시] [한화리조트 X 미스터멘션] 제주 한화리조트,6박,4.8,164,명림로
[제주/구좌] #모던/우드 2가지 감성 독채 #옥상 #테라스 '모던하우스',6박,4.8,21,구좌읍
[제주/구좌] 감성 독채 #자쿠지 #돌담 #논밭뷰 '소담정',6박,4.2,10,구좌읍
[제주/애월] 쌩텀펜션 #특가 #단독 #바베큐 #정원,6박,5,145,애월읍
[제주/애월] #탁트인전망 #프라이빗한공간  #넓은구조 #전용마당독채 몽글몽글 꽃그림이 가득한 독채 몽스테이,6박,5,3,애월읍
[제주/애월]#숲속 #통나무집 #힐링스테이 #제주스러움 예예하우스,6박,4.9,6,애월읍
[서귀포시] #오션뷰 #풀옵션 #한달살기 제주준이네 웰스플레이스,29박,4.8,61,막동산로46번길
